Rank,Movie Title,Opening,"% of
Total",Total Gross
1,Avengers: Infinity War,"$191,034,859",53.1%,"$359,543,153"
2,Monster Hunt 2,"$187,908,839",52.7%,"$356,336,096"
3,The Fate of the Furious,"$184,908,284",47.1%,"$392,807,017"
4,Furious 7,"$182,400,000",46.7%,"$390,910,000"
5,The Wandering Earth,"$179,892,945",26.0%,"$690,994,017"
6,Avengers: Endgame,"$175,961,330",28.6%,"$614,316,021"
7,Avengers: Age of Ultron,"$155,750,000",64.9%,"$240,110,000"
8,Detective Chinatown 2,"$154,628,274",28.6%,"$541,406,438"
9,Dying To Survive,"$152,163,428",33.7%,"$451,176,639"
10,Hello Mr. Billionaire,"$132,218,778",36.0%,"$366,961,907"
11,Wolf Warrior 2,"$131,773,219",15.4%,"$854,248,869"
12,The Mermaid (2016),"$120,481,288",22.9%,"$526,848,189"
13,Transformers: The Last Knight,"$119,682,298",52.3%,"$228,842,508"
14,Jurassic World: Fallen Kingdom,"$111,609,921",42.7%,"$261,224,207"
15,Venom (2018),"$107,672,690",40.0%,"$269,196,633"
16,Monster Hunt,"$107,020,000",28.0%,"$381,860,000"
17,Lost in Hong Kong,"$106,800,000",45.6%,"$234,431,227"
18,Jurassic World,"$99,150,000",43.3%,"$228,740,000"
19,Mojin: The Lost Legend,"$95,437,753",37.3%,"$255,747,040"
20,Spider-Man: Far from Home,"$95,044,125",47.8%,"$198,999,549"
21,Ne Zha Zhi Mo Tong Jiang Shi,"$94,948,797",13.7%,"$695,260,418"
22,Fast & Furious Presents: Hobbs & Shaw,"$94,938,990",47.5%,"$200,071,105"
23,Resident Evil: The Final Chapter,"$94,335,503",59.1%,"$159,548,686"
24,Breakup Buddies,"$94,130,000",50.1%,"$187,970,000"
25,Captain America: Civil War,"$93,640,448",51.8%,"$180,794,517"
26,Aquaman,"$93,355,527",32.0%,"$291,800,000"
27,Journey to the West: Conquering the Demons,"$92,460,000",47.0%,"$196,740,000"
28,Transformers: Age of Extinction,"$92,000,000",28.8%,"$320,000,000"
29,Us and Them,"$88,465,904",42.3%,"$209,221,331"
30,Mission: Impossible - Rogue Nation,"$86,650,000",63.9%,"$135,653,541"
31,Captain Marvel,"$86,376,752",56.1%,"$154,070,663"
32,Journey to the West: The Demons Strike Back,"$84,165,398",35.1%,"$239,553,888"
33,The Island (2018),"$77,883,767",39.5%,"$197,276,235"
34,Crazy Alien,"$77,112,971",23.5%,"$327,598,891"
35,Mission: Impossible - Fallout,"$76,113,752",42.0%,"$181,184,137"
36,Operation Red Sea,"$72,688,859",12.6%,"$575,849,199"
37,Kong: Skull Island,"$71,644,087",42.6%,"$168,188,002"
38,iPartment the Movie,"$71,554,407",88.2%,"$81,096,321"
39,Ip Man 3,"$70,650,060",56.9%,"$124,101,198"
40,Spider-Man: Homecoming,"$69,240,992",59.5%,"$116,280,889"
41,Jian Bing Man,"$69,020,000",37.0%,"$186,350,000"
42,Ant-Man and the Wasp,"$66,664,063",55.0%,"$121,203,074"
43,Godzilla: King of the Monsters,"$66,156,539",48.9%,"$135,400,000"
44,Time Raiders,"$66,073,351",45.4%,"$145,692,957"
45,Pirates of the Caribbean: Dead Men Tell No Tales,"$65,883,451",38.2%,"$172,277,290"
46,Warcraft,"$65,141,191",28.9%,"$225,547,500"
47,Black Panther,"$65,131,851",62.0%,"$105,062,459"
48,Iron Man 3,"$64,500,000",53.2%,"$121,200,000"
49,Despicable Me 3,"$64,057,085",40.5%,"$158,171,566"
50,Alita: Battle Angel,"$63,793,482",47.8%,"$133,397,094"
51,Pacific Rim Uprising,"$63,531,254",63.9%,"$99,488,362"
52,Ready Player One,"$61,652,315",28.2%,"$218,471,784"
53,The Great Wall,"$60,599,684",35.4%,"$170,962,106"
54,The White Storm 2,"$60,429,427",32.9%,"$183,882,462"
55,xXx: The Return of Xander Cage,"$60,415,832",36.8%,"$164,066,583"
56,War for the Planet of the Apes,"$59,797,866",53.3%,"$112,150,301"
57,X-Men: Apocalypse,"$59,587,048",49.3%,"$120,765,095"
58,Tiny Times 4.0,"$58,390,000",75.1%,"$77,750,000"
59,Terminator: Genisys,"$58,170,000",51.4%,"$113,175,898"
60,Bumblebee,"$57,917,589",33.9%,"$170,846,880"
61,The Bravest,"$56,215,691",23.6%,"$237,929,247"
62,Transformers 3,"$56,000,000",33.9%,"$165,100,000"
63,Batman v Superman: Dawn of Justice,"$55,739,150",58.2%,"$95,769,365"
64,Pegasus,"$55,097,182",21.6%,"$255,510,705"
65,Rampage (2018),"$55,005,673",35.2%,"$156,381,897"
66,Dragon Blade,"$54,840,000",47.0%,"$116,790,000"
67,Finding Mr. Right 2,"$54,646,277",47.9%,"$114,130,123"
68,Gone with the Bullets,"$54,290,000",66.8%,"$81,300,000"
69,Devil and Angel (E Gun Tian Shi),"$54,254,315",55.1%,"$98,465,197"
70,The Lion King (2019),"$54,182,944",46.5%,"$116,498,482"
71,Thor: Ragnarok,"$53,321,193",47.5%,"$112,226,154"
72,Personal Tailor,"$52,510,000",45.5%,"$115,520,000"
73,Star Wars: The Force Awakens,"$52,348,430",42.2%,"$124,159,138"
74,San Andreas,"$52,260,000",50.6%,"$103,190,000"
75,The Mummy (2017),"$51,331,553",56.0%,"$91,707,392"
76,Kung Fu Panda 3,"$51,311,226",33.3%,"$154,304,371"
77,The Taking of Tiger Mountain,"$51,290,000",36.4%,"$141,020,000"
78,The Monkey King 3,"$50,946,054",44.4%,"$114,778,320"
79,The Monkey King,"$50,880,000",30.3%,"$167,840,000"
80,Justice League,"$50,562,293",47.7%,"$106,052,345"
81,Tiny Times 3,"$50,120,000",60.9%,"$82,320,000"
82,The Meg,"$50,089,125",32.7%,"$153,033,208"
83,The Hobbit: The Battle of the Five Armies,"$49,300,000",40.5%,"$121,720,000"
84,The Jungle Book (2016),"$48,881,426",32.6%,"$150,140,000"
85,Logan,"$48,836,328",46.0%,"$106,226,155"
86,Guardians of the Galaxy Vol. 2,"$48,563,935",48.2%,"$100,663,260"
87,Skyscraper,"$48,061,967",48.8%,"$98,444,095"
88,The Continent,"$47,140,000",47.1%,"$100,110,000"
89,Dawn of the Planet of the Apes,"$47,006,968",43.8%,"$107,355,317"
90,Hidden Men,"$46,939,058",55.1%,"$85,170,581"
91,The Amazing Spider-Man 2,"$46,450,000",49.2%,"$94,430,000"
92,Never Say Die,"$46,432,615",13.9%,"$333,937,573"
93,More than Blue,"$46,390,917",33.2%,"$139,613,557"
94,Buddies in India,"$46,289,817",42.1%,"$109,835,197"
95,Skiptrace,"$45,597,697",35.3%,"$129,014,985"
96,Police Story 2013,"$45,340,000",52.5%,"$86,340,000"
97,Pacific Rim,"$45,280,000",40.5%,"$111,940,000"
98,Beauty and the Beast (2017),"$44,537,619",51.9%,"$85,763,002"
99,Spectre,"$44,495,427",53.3%,"$83,509,789"
100,Now You See Me 2,"$44,378,160",45.7%,"$97,115,220"
101,Youth (2017),"$44,311,788",19.7%,"$224,558,496"
102,Cold War 2,"$43,904,174",43.0%,"$102,197,265"
103,S.P.L. 2: A TIme for Consequences,"$43,750,000",48.5%,"$90,270,000"
104,Doctor Strange,"$43,666,292",40.0%,"$109,194,913"
105,Detective Dee: The Four Heavenly Kings,"$43,391,704",48.7%,"$89,016,856"
106,The Ex-File: The Return of the Exes,"$43,103,922",14.1%,"$306,449,457"
107,The Man from Macau II,"$43,100,000",28.0%,"$154,130,000"
108,Ant-Man,"$42,770,000",40.6%,"$105,370,038"
109,Tiny Times,"$42,760,000",55.1%,"$77,600,000"
110,Interstellar,"$42,670,000",35.0%,"$121,990,000"
111,The Monkey King 2 in 3D,"$41,645,140",22.5%,"$185,402,420"
112,Forever Young,"$41,420,000",69.3%,"$59,750,000"
113,Your Name (Kimi no na wa.),"$41,294,390",49.3%,"$83,678,210"
114,The Expendables 3,"$41,240,000",56.6%,"$72,870,000"
115,Tomb Raider,"$40,839,420",52.0%,"$78,497,836"
116,Wukong,"$40,724,499",39.4%,"$103,489,838"
117,"Dad, Where Are We Going?","$40,560,000",36.3%,"$111,870,000"
118,Fantastic Beasts and Where To Find Them,"$40,455,021",47.1%,"$85,963,412"
119,See You Tomorrow,"$40,022,833",57.1%,"$70,065,569"
120,Pokemon Detective Pikachu,"$39,879,448",42.6%,"$93,700,000"
121,P Storm,"$39,798,089",34.6%,"$114,996,698"
122,X-Men: Days of Future Past,"$39,350,000",33.8%,"$116,490,000"
123,Jumanji: Welcome to the Jungle,"$39,236,917",50.3%,"$77,946,567"
