Rank,Title,Studio,"Worldwide
Opening","Domestic
Opening" , "DO-%","Overseas
Opening" , "OO-%",Year
1,Avengers: Endgame,BV,"$1,223.6",$357.1,29.2%,$866.5,70.8%,2019
2,Avengers: Infinity War,BV,$640.5,$257.7,40.2%,$382.8,59.8%,2018
3,The Fate of the Furious,Uni.,$541.9,$98.8,18.2%,$443.2,81.8%,2017
4,Star Wars: The Force Awakens,BV,$529.0,$248.0,46.9%,$281.0,53.1%,2015
5,Jurassic World,Uni.,$525.5,$208.8,39.7%,$316.7,60.3%,2015
6,Harry Potter and the Deathly Hallows Part 2,WB,$483.2,$169.2,35.0%,$314.0,65.0%,2011
7,Captain Marvel,BV,$456.7,$153.4,33.6%,$303.3,66.4%,2019
8,Star Wars: The Last Jedi,BV,$450.8,$220.0,48.8%,$230.8,51.2%,2017
9,Batman v Superman: Dawn of Justice,WB,$422.5,$166.0,39.3%,$256.5,60.7%,2016
10,Furious 7,Uni.,$397.7,$147.2,37.0%,$250.5,63.0%,2015
11,Harry Potter and the Half-Blood Prince,WB,$394.0,$158.0,40.1%,$236.0,59.9%,2009
12,Marvel's The Avengers,BV,$392.5,$207.4,52.8%,$185.1,47.2%,2012
13,Avengers: Age of Ultron,BV,$392.5,$191.3,48.7%,$201.2,51.3%,2015
14,Transformers: Dark of the Moon,P/DW,$382.4,$162.6,42.5%,$219.8,57.5%,2011
15,Spider-Man 3,Sony,$381.7,$151.1,39.6%,$230.5,60.4%,2007
16,Captain America: Civil War,BV,$379.5,$179.1,47.2%,$200.4,52.8%,2016
17,Iron Man 3,BV,$372.5,$174.1,46.7%,$198.4,53.3%,2013
18,Black Panther,BV,$371.4,$202.0,54.4%,$169.4,45.6%,2018
19,Beauty and the Beast (2017),BV,$357.0,$174.8,48.9%,$182.3,51.1%,2017
20,Pirates of the Caribbean: On Stranger Tides,BV,$350.6,$90.2,25.7%,$260.4,74.3%,2011
21,Pirates of the Caribbean: At World's End,BV,$344.0,$128.0,37.2%,$216.0,62.8%,2007
22,The Twilight Saga: Breaking Dawn Part 2,LG/S,$340.6,$141.1,41.4%,$199.5,58.6%,2012
23,Harry Potter and the Order of the Phoenix,WB,$332.7,$139.7,42.0%,$193.0,58.0%,2007
24,Harry Potter and the Deathly Hallows Part 1,WB,$330.0,$125.0,37.9%,$205.0,62.1%,2010
25,Star Wars: Episode III - Revenge of the Sith,Fox,$303.9,$158.4,52.1%,$145.5,47.9%,2005
26,Transformers: Age of Extinction,Par.,$302.1,$100.0,33.1%,$202.1,66.9%,2014
27,Deadpool 2,Fox,$300.4,$125.5,41.8%,$174.9,58.2%,2018
28,Jurassic World: Fallen Kingdom,Uni.,$298.9,$148.0,49.5%,$150.9,50.5%,2018
29,Spider-Man: Far from Home,Sony,$295.8,$185.1,62.6%,$110.8,37.4%,2019
30,The Twilight Saga: Breaking Dawn Part 1,Sum.,$291.0,$138.1,47.5%,$152.9,52.5%,2011
31,Rogue One: A Star Wars Story,BV,$290.0,$155.1,53.5%,$135.0,46.5%,2016
32,Justice League,WB,$278.8,$93.8,33.7%,$185.0,66.3%,2017
33,The Twilight Saga: New Moon,Sum.,$274.9,$142.8,52.0%,$132.1,48.0%,2009
34,The Hunger Games: Mockingjay - Part 1,LGF,$273.9,$121.9,44.5%,$152.0,55.5%,2014
35,Indiana Jones and the Kingdom of the Crystal Skull,Par.,$272.2,$125.2,46.0%,$147.0,54.0%,2008
36,Pirates of the Caribbean: Dead Men Tell No Tales,BV,$271.8,$63.0,23.2%,$208.8,76.8%,2017
37,Suicide Squad,WB,$267.0,$133.7,50.1%,$133.3,49.9%,2016
38,Deadpool,Fox,$264.7,$132.4,50.0%,$132.3,50.0%,2016
39,X-Men: Days of Future Past,Fox,$262.9,$90.8,34.6%,$172.0,65.4%,2014
40,Spider-Man: Homecoming,Sony,$256.5,$117.0,45.6%,$139.5,54.4%,2017
41,Fantastic Beasts: The Crimes of Grindelwald,WB,$253.7,$62.2,24.5%,$191.5,75.5%,2018
42,Guardians of the Galaxy Vol. 2,BV,$252.5,$146.5,58.0%,$106.0,42.0%,2017
43,The Lord of the Rings: The Return of the King,NL,$250.0,$124.1,49.6%,$125.9,50.4%,2003
44,The Dark Knight Rises,WB,$248.9,$160.9,64.6%,$88.0,35.4%,2012
45,Logan (2017),Fox,$247.4,$88.4,35.7%,$159.0,64.3%,2017
46,The Hunger Games: Mockingjay - Part 2,LGF,$247.2,$102.7,41.5%,$144.5,58.5%,2015
47,The Lion King (2019),BV,$246.0,$191.8,78.0%,$54.2,22.0%,2019
48,Toy Story 4,BV,$244.5,$120.9,49.4%,$123.6,50.6%,2019
49,Fifty Shades of Grey,Uni.,$242.4,$85.2,35.1%,$157.2,64.9%,2015
50,Avatar,Fox,$241.6,$77.0,31.9%,$164.5,68.1%,2009
51,Incredibles 2,BV,$235.8,$182.7,77.5%,$53.1,22.5%,2018
52,The Da Vinci Code,Sony,$232.1,$77.1,33.2%,$155.0,66.8%,2006
53,Thor: Ragnarok,BV,$231.8,$122.7,52.9%,$109.1,47.1%,2017
54,2012,Sony,$230.5,$65.2,28.3%,$165.2,71.7%,2009
55,The Twilight Saga: Eclipse,Sum.,$228.9,$157.6,68.8%,$71.3,31.2%,2010
56,Wonder Woman,WB,$228.3,$103.3,45.2%,$125.0,54.8%,2017
57,The Hobbit: An Unexpected Journey,WB (NL),$222.6,$84.6,38.0%,$138.0,62.0%,2012
58,Iron Man 2,Par.,$220.8,$128.1,58.0%,$92.6,42.0%,2010
59,Transformers: Revenge of the Fallen,P/DW,$219.9,$200.1,91.0%,$19.8,9.0%,2009
60,Fantastic Beasts and Where To Find Them,WB,$219.9,$74.4,33.8%,$145.5,66.2%,2016
61,Ice Age: Dawn of the Dinosaurs,Fox,$218.4,$66.7,30.6%,$151.7,69.4%,2009
62,Aladdin (2019),BV,$214.7,$91.5,42.6%,$123.2,57.4%,2019
63,The Hunger Games,LGF,$211.8,$152.5,72.0%,$59.3,28.0%,2012
64,Alice in Wonderland (2010),BV,$210.1,$116.1,55.3%,$94.0,44.7%,2010
